Discovered 1223 test files (0 tests) under ['tests']; running with -j 64
  ║         home = tmp_path / "argo"
  ║         home.mkdir()
  ║         (home / ".env").write_text(
  ║             "OPENAI_BASE_URL=https://new.example/v1\nHERMES_INFERENCE_PROVIDER=custom\n",
  ║             encoding="utf-8",
  ║         )
  ║     
  ║         monkeypatch.setenv("ARGO_HOME", str(home))
  ║         monkeypatch.setenv("OPENAI_BASE_URL", "https://old.example/v1")
  ║         monkeypatch.setenv("ARGO_INFERENCE_PROVIDER", "openrouter")
  ║     
  ║         sys.modules.pop("argo_cli.main", None)
  ║         importlib.import_module("argo_cli.main")
  ║     
  ║         assert os.getenv("OPENAI_BASE_URL") == "https://new.example/v1"
  ║ >       assert os.getenv("ARGO_INFERENCE_PROVIDER") == "custom"
  ║ E       AssertionError: assert 'openrouter' == 'custom'
  ║ E         
  ║ E         - custom
  ║ E         + openrouter
  ║ 
  ║ tests/argo_cli/test_env_loader.py:106: AssertionError
  ║ =========================== short test summary info ============================
  ║ FAILED tests/argo_cli/test_env_loader.py::test_main_import_applies_user_env_over_shell_values
  ║ ========================= 1 failed, 5 passed in 1.19s ==========================
  ║
  ║  Repro: python -m pytest tests/argo_cli/test_env_loader.py
  ╚╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍

[  0.0% |     0/0 | ✓3299 | ✗   1] ✓ tests/argo_cli/test_dashboard_auth_stub_provider.py (11✓, 5.1s)
[  0.0% |     0/0 | ✓3305 | ✗   1] ✓ tests/argo_cli/test_env_load_cache.py (6✓, 3.0s)
[  0.0% |     0/0 | ✓3317 | ✗   1] ✓ tests/argo_cli/test_custom_provider_context_length.py (12✓, 6.7s)
